----------------------------------------------
PZ-CW TotHead [m]: 
    2016/06/06 18:00:00 430.483750 
    2016/06/06 18:15:00 430.484250 
    2016/06/06 18:30:00 430.482500 
    2016/06/06 18:45:00 430.480750 
    2016/06/06 19:00:00 430.479000 
    2016/06/06 19:15:00 430.484500 
    2016/06/06 19:30:00 430.486000 
    2016/06/06 19:45:00 430.481000 
    2016/06/06 20:00:00 430.479000 
    2016/06/06 20:15:00 430.477500 
    2016/06/06 20:30:00 430.475750 
    2016/06/06 20:45:00 430.476000 
    2016/06/06 21:00:00 430.474500 
    2016/06/06 21:15:00 430.472750 
    2016/06/06 21:30:00 430.474000 
    2016/06/06 21:45:00 430.476250 
    2016/06/06 22:00:00 430.472500 
    2016/06/06 22:15:00 430.470750 
    2016/06/06 22:30:00 430.471000 
    2016/06/06 22:45:00 430.470750 
    2016/06/06 23:00:00 430.468750 
    2016/06/06 23:15:00 430.470750 
    2016/06/06 23:30:00 430.470750 
    2016/06/06 23:45:00 430.469250 
    2016/06/07 00:00:00 430.469000 
    2016/06/07 00:15:00 430.465500 
    2016/06/07 00:30:00 430.465750 
    2016/06/07 00:45:00 430.462250 
    2016/06/07 01:00:00 430.464000 
    2016/06/07 01:15:00 430.464000 
    2016/06/07 01:30:00 430.463750 
    2016/06/07 01:45:00 430.462250 
    2016/06/07 02:00:00 430.463750 
    2016/06/07 02:15:00 430.465500 
    2016/06/07 02:30:00 430.461750 
    2016/06/07 02:45:00 430.463500 
    2016/06/07 03:00:00 430.465500 
    2016/06/07 03:15:00 430.460250 
    2016/06/07 03:30:00 430.456750 
    2016/06/07 03:45:00 430.458750 
    2016/06/07 04:00:00 430.458750 
    2016/06/07 04:15:00 430.458500 
    2016/06/07 04:30:00 430.457000 
    2016/06/07 04:45:00 430.456750 
    2016/06/07 05:00:00 430.455500 
    2016/06/07 05:15:00 430.453750 
    2016/06/07 05:30:00 430.457000 
    2016/06/07 05:45:00 430.459000 
    2016/06/07 06:00:00 430.456750 
    2016/06/07 06:15:00 430.456750 
    2016/06/07 06:30:00 430.457500 
    2016/06/07 06:45:00 430.462500 
    2016/06/07 07:00:00 430.459000 
    2016/06/07 07:15:00 430.459250 
    2016/06/07 07:30:00 430.462500 
    2016/06/07 07:45:00 430.458750 
    2016/06/07 08:00:00 430.458750 
    2016/06/07 08:15:00 430.455750 
    2016/06/07 08:30:00 430.457500 
    2016/06/07 08:45:00 430.457500 
    2016/06/07 09:00:00 430.459000 
    2016/06/07 09:15:00 430.455750 
    2016/06/07 09:30:00 430.457250 
    2016/06/07 09:45:00 430.457250 
    2016/06/07 10:00:00 430.452000 
    2016/06/07 10:15:00 430.451500 
    2016/06/07 10:30:00 430.453500 
    2016/06/07 10:45:00 430.448500 
    2016/06/07 11:00:00 430.444750 
    2016/06/07 11:15:00 430.444500 
    2016/06/07 11:30:00 430.441000 
    2016/06/07 11:45:00 430.439250 
    2016/06/07 12:00:00 430.434000 
    2016/06/07 12:15:00 430.437500 
    2016/06/07 12:30:00 430.437250 
    2016/06/07 12:45:00 430.432250 
    2016/06/07 13:00:00 430.430250 
    2016/06/07 13:15:00 430.428500 
    2016/06/07 13:30:00 430.426500 
    2016/06/07 13:45:00 430.423250 
    2016/06/07 14:00:00 430.421000 
    2016/06/07 14:15:00 430.414500 
    2016/06/07 14:30:00 430.416000 
    2016/06/07 14:45:00 430.412500 
    2016/06/07 15:00:00 430.408750 
    2016/06/07 15:15:00 430.408500 
    2016/06/07 15:30:00 430.405000 
    2016/06/07 15:45:00 430.398250 
    2016/06/07 16:00:00 430.394750 
    2016/06/07 16:15:00 430.393000 
    2016/06/07 16:30:00 430.393000 
    2016/06/07 16:45:00 430.393000 
    2016/06/07 17:00:00 430.391250 
    2016/06/07 17:15:00 430.391250 
    2016/06/07 17:30:00 430.394750 
    2016/06/07 17:45:00 430.391250 
    2016/06/07 18:00:00 430.391500 
    2016/06/07 18:15:00 430.391500 
    2016/06/07 18:30:00 430.391500 
    2016/06/07 18:45:00 430.391500 
    2016/06/07 19:00:00 430.395000 
    2016/06/07 19:15:00 430.396750 
    2016/06/07 19:30:00 430.398500 
    2016/06/07 19:45:00 430.398750 
    2016/06/07 20:00:00 430.406000 
    2016/06/07 20:15:00 430.407750 
    2016/06/07 20:30:00 430.407750 
    2016/06/07 20:45:00 430.409500 
    2016/06/07 21:00:00 430.413000 
    2016/06/07 21:15:00 430.416750 
    2016/06/07 21:30:00 430.423750 
    2016/06/07 21:45:00 430.425750 
    2016/06/07 22:00:00 430.427500 
    2016/06/07 22:15:00 430.432750 
    2016/06/07 22:30:00 430.432750 
    2016/06/07 22:45:00 430.433000 
