----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/06/07 09:30:00 428.158670 
    2016/06/07 09:45:00 428.159840 
    2016/06/07 10:00:00 428.160420 
    2016/06/07 10:15:00 428.161590 
    2016/06/07 10:30:00 428.158670 
    2016/06/07 10:45:00 428.163000 
    2016/06/07 11:00:00 428.162420 
    2016/06/07 11:15:00 428.160670 
    2016/06/07 11:30:00 428.161250 
    2016/06/07 11:45:00 428.160090 
    2016/06/07 12:00:00 428.159500 
    2016/06/07 12:15:00 428.163340 
    2016/06/07 12:30:00 428.159500 
    2016/06/07 12:45:00 428.161250 
    2016/06/07 13:00:00 428.164170 
    2016/06/07 13:15:00 428.160090 
    2016/06/07 13:30:00 428.158590 
    2016/06/07 13:45:00 428.158920 
