----------------------------------------------
PZ-In TotHead [m]: 
    2016/06/07 12:30:00 428.584583 
    2016/06/07 12:45:00 428.584750 
    2016/06/07 13:00:00 428.584083 
    2016/06/07 13:15:00 428.583583 
    2016/06/07 13:30:00 428.583000 
    2016/06/07 13:45:00 428.583000 
    2016/06/07 14:00:00 428.580417 
    2016/06/07 14:15:00 428.580750 
    2016/06/07 14:30:00 428.579000 
    2016/06/07 14:45:00 428.578167 
    2016/06/07 15:00:00 428.578750 
    2016/06/07 15:15:00 428.581833 
    2016/06/07 15:30:00 428.581750 
    2016/06/07 15:45:00 428.580000 
    2016/06/07 16:00:00 428.578250 
    2016/06/07 16:15:00 428.577667 
    2016/06/07 16:30:00 428.581000 
    2016/06/07 16:45:00 428.582750 
    2016/06/07 17:00:00 428.580333 
    2016/06/07 17:15:00 428.574500 
    2016/06/07 17:30:00 428.574500 
    2016/06/07 17:45:00 428.575000 
    2016/06/07 18:00:00 428.576000 
    2016/06/07 18:15:00 428.576167 
    2016/06/07 18:30:00 428.579333 
    2016/06/07 18:45:00 428.584250 
    2016/06/07 19:00:00 428.583083 
    2016/06/07 19:15:00 428.582000 
    2016/06/07 19:30:00 428.583000 
    2016/06/07 19:45:00 428.573667 
    2016/06/07 20:00:00 428.575000 
    2016/06/07 20:15:00 428.582750 
    2016/06/07 20:30:00 428.581583 
    2016/06/07 20:45:00 428.583417 
    2016/06/07 21:00:00 428.584000 
    2016/06/07 21:15:00 428.581667 
    2016/06/07 21:30:00 428.585417 
    2016/06/07 21:45:00 428.591500 
    2016/06/07 22:00:00 428.596750 
    2016/06/07 22:15:00 428.600000 
    2016/06/07 22:30:00 428.600750 
    2016/06/07 22:45:00 428.601417 
    2016/06/07 23:00:00 428.600667 
    2016/06/07 23:15:00 428.602250 
    2016/06/07 23:30:00 428.601083 
    2016/06/07 23:45:00 428.602000 
    2016/06/08 00:00:00 428.601000 
    2016/06/08 00:15:00 428.603500 
    2016/06/08 00:30:00 428.608583 
    2016/06/08 00:45:00 428.612500 
