----------------------------------------------
PZ-CC TotHead [m]: 
    2016/06/07 10:00:00 428.583500 
    2016/06/07 10:15:00 428.585250 
    2016/06/07 10:30:00 428.583500 
    2016/06/07 10:45:00 428.587250 
    2016/06/07 11:00:00 428.585250 
    2016/06/07 11:15:00 428.584250 
    2016/06/07 11:30:00 428.582500 
    2016/06/07 11:45:00 428.582250 
    2016/06/07 12:00:00 428.582250 
    2016/06/07 12:15:00 428.581750 
    2016/06/07 12:30:00 428.580250 
    2016/06/07 12:45:00 428.582000 
    2016/06/07 13:00:00 428.583500 
    2016/06/07 13:15:00 428.580000 
    2016/06/07 13:30:00 428.578500 
    2016/06/07 13:45:00 428.581750 
    2016/06/07 14:00:00 428.583750 
    2016/06/07 14:15:00 428.585000 
    2016/06/07 14:30:00 428.586750 
